"","person_income","person_home_ownership","loan_grade","loan_amnt","loan_status","loan_percent_income","cb_person_default_on_file","emp_cat","ir_cat"
"16490",42000,"RENT","B",15000,1,0.36,"N","0-15","11-13.5"
"16491",60000,"RENT","A",24000,1,0.4,"N","0-15","0-8"
"16492",90000,"MORTGAGE","B",6400,0,0.07,"N","0-15","8-11"
"16493",47000,"RENT","A",8500,0,0.18,"N","0-15","8-11"
"16494",29120,"OTHER","A",6400,0,0.22,"N","0-15","8-11"
"16495",79000,"MORTGAGE","A",10000,0,0.13,"N","0-15","0-8"
"16496",69996,"OTHER","C",8000,0,0.11,"N","0-15","11-13.5"
"16497",95000,"MORTGAGE","A",35000,0,0.37,"N","0-15","0-8"
"16498",37000,"RENT","B",5500,0,0.15,"N","0-15","8-11"
"16499",70000,"RENT","A",12000,0,0.17,"N","0-15","0-8"
"16500",123144,"RENT","B",12000,0,0.1,"N","0-15","8-11"
"16501",82000,"RENT","C",6000,0,0.07,"N","0-15","Missing"
"16502",115000,"MORTGAGE","C",19000,0,0.17,"Y","0-15","11-13.5"
"16503",52000,"RENT","B",1500,0,0.03,"N","0-15","11-13.5"
"16504",42000,"MORTGAGE","B",4500,0,0.11,"N","0-15","11-13.5"
"16505",95000,"MORTGAGE","C",19800,1,0.21,"Y","0-15","11-13.5"
"16506",70000,"RENT","A",6725,0,0.1,"N","0-15","0-8"
"16507",70000,"OTHER","B",12000,0,0.17,"N","0-15","11-13.5"
"16508",85000,"MORTGAGE","A",12000,0,0.14,"N","0-15","0-8"
"16509",70000,"MORTGAGE","C",6000,0,0.09,"Y","0-15","13.5+"
"16510",107000,"MORTGAGE","Other",35000,1,0.33,"Y","0-15","13.5+"
"16511",45000,"RENT","B",9000,0,0.2,"N","0-15","11-13.5"
"16512",38496,"MORTGAGE","A",8000,0,0.21,"N","0-15","0-8"
"16513",120000,"MORTGAGE","A",6000,0,0.05,"N","0-15","Missing"
"16514",45000,"RENT","C",4000,0,0.09,"Y","0-15","Missing"
"16515",66661,"MORTGAGE","B",1500,0,0.02,"N","0-15","11-13.5"
"16516",2e+05,"MORTGAGE","A",5000,0,0.03,"N","0-15","0-8"
"16517",32000,"RENT","A",5000,0,0.16,"N","0-15","0-8"
"16518",34000,"RENT","C",6500,1,0.19,"N","0-15","11-13.5"
"16519",36000,"OTHER","B",11200,0,0.31,"N","0-15","8-11"
"16520",32000,"RENT","Other",8575,1,0.27,"N","0-15","13.5+"
"16521",59000,"RENT","B",8500,0,0.14,"N","0-15","11-13.5"
"16522",78700,"RENT","C",14000,0,0.18,"Y","0-15","11-13.5"
"16523",38000,"MORTGAGE","A",4500,0,0.12,"N","0-15","0-8"
"16524",50200,"RENT","A",9000,0,0.18,"N","0-15","0-8"
"16525",86000,"RENT","C",10000,0,0.12,"N","0-15","11-13.5"
"16526",84000,"RENT","A",12000,0,0.14,"N","0-15","0-8"
"16527",48000,"MORTGAGE","A",14125,0,0.29,"N","0-15","Missing"
"16528",63402,"RENT","C",6000,0,0.09,"Y","0-15","11-13.5"
"16529",1e+05,"RENT","B",12000,0,0.12,"N","0-15","8-11"
"16530",69000,"MORTGAGE","C",7800,0,0.11,"N","0-15","11-13.5"
"16531",120000,"MORTGAGE","A",10000,0,0.08,"N","Missing","Missing"
"16532",30000,"MORTGAGE","A",3000,0,0.1,"N","0-15","0-8"
"16533",60000,"RENT","A",1200,0,0.02,"N","0-15","0-8"
"16534",44000,"RENT","C",4600,1,0.1,"N","0-15","13.5+"
"16535",42000,"MORTGAGE","C",12000,0,0.29,"Y","0-15","13.5+"
"16536",45996,"RENT","C",11500,0,0.25,"Y","0-15","11-13.5"
"16537",37000,"MORTGAGE","B",10000,0,0.27,"N","0-15","8-11"
"16538",20856,"OTHER","B",10000,0,0.48,"N","Missing","8-11"
"16539",36996,"RENT","C",9600,0,0.26,"Y","0-15","11-13.5"
"16540",89800,"MORTGAGE","B",20000,0,0.22,"N","0-15","11-13.5"
"16541",64800,"MORTGAGE","B",2000,0,0.03,"N","0-15","11-13.5"
"16542",60000,"MORTGAGE","C",21000,0,0.35,"Y","0-15","Missing"
"16543",120000,"MORTGAGE","C",6000,0,0.05,"Y","0-15","11-13.5"
"16544",21000,"RENT","B",5175,0,0.25,"N","0-15","11-13.5"
"16545",60000,"MORTGAGE","A",12500,0,0.21,"N","0-15","0-8"
"16546",130000,"OTHER","B",22800,0,0.18,"N","0-15","Missing"
"16547",115000,"MORTGAGE","C",10000,0,0.09,"Y","0-15","13.5+"
"16548",45000,"RENT","B",14500,1,0.32,"N","0-15","8-11"
"16549",75600,"MORTGAGE","A",10000,0,0.13,"N","0-15","Missing"
"16550",35000,"OTHER","C",6500,0,0.19,"N","0-15","11-13.5"
"16551",41000,"MORTGAGE","A",7000,1,0.17,"N","0-15","0-8"
"16552",75000,"MORTGAGE","C",4000,0,0.05,"Y","0-15","11-13.5"
"16553",50000,"RENT","B",7200,0,0.14,"N","0-15","11-13.5"
"16554",20664,"RENT","C",4550,0,0.22,"Y","0-15","13.5+"
"16555",61000,"OTHER","C",15000,0,0.25,"N","0-15","13.5+"
"16556",77368,"RENT","B",15000,0,0.19,"N","0-15","8-11"
"16557",74000,"MORTGAGE","B",4475,0,0.06,"N","0-15","8-11"
"16558",72000,"RENT","Other",3000,1,0.04,"Y","0-15","13.5+"
"16559",54400,"RENT","B",2500,1,0.04,"N","0-15","11-13.5"
"16560",19200,"RENT","B",5000,1,0.26,"N","0-15","8-11"
"16561",35364,"RENT","A",10000,0,0.28,"N","0-15","8-11"
"16562",26400,"RENT","A",3800,0,0.14,"N","0-15","0-8"
"16563",35000,"MORTGAGE","A",6000,0,0.17,"N","0-15","0-8"
"16564",55000,"MORTGAGE","B",13500,0,0.25,"N","0-15","8-11"
"16565",51000,"MORTGAGE","Other",17500,1,0.34,"Y","0-15","13.5+"
"16566",59000,"RENT","Other",18000,1,0.31,"Y","0-15","13.5+"
"16567",154000,"MORTGAGE","A",12225,0,0.08,"N","0-15","0-8"
"16568",24000,"RENT","B",14075,1,0.59,"N","0-15","Missing"
"16569",2e+05,"RENT","B",12000,0,0.06,"N","0-15","11-13.5"
"16570",25344,"MORTGAGE","Other",4000,1,0.16,"Y","0-15","13.5+"
"16571",192000,"MORTGAGE","A",20000,0,0.1,"N","0-15","0-8"
"16572",175000,"RENT","Other",10000,0,0.06,"N","0-15","13.5+"
"16573",40000,"RENT","B",3600,0,0.09,"N","0-15","8-11"
"16574",140000,"RENT","A",9000,0,0.06,"N","0-15","0-8"
"16575",58650,"MORTGAGE","A",5000,1,0.07,"N","0-15","8-11"
"16576",60000,"RENT","B",3600,0,0.06,"N","0-15","8-11"
"16577",61498,"MORTGAGE","B",5000,0,0.08,"N","0-15","11-13.5"
"16578",30000,"RENT","B",1000,0,0.03,"N","0-15","8-11"
"16579",133000,"RENT","B",17400,0,0.13,"N","0-15","11-13.5"
"16580",52000,"RENT","C",8000,0,0.15,"Y","0-15","11-13.5"
"16581",90000,"MORTGAGE","B",12000,0,0.13,"N","0-15","11-13.5"
"16582",15000,"RENT","Other",2200,0,0.15,"N","0-15","Missing"
"16583",48500,"RENT","A",3850,0,0.08,"N","0-15","8-11"
"16584",26400,"RENT","C",4750,0,0.18,"N","0-15","11-13.5"
"16585",80000,"MORTGAGE","Other",15000,0,0.19,"Y","0-15","13.5+"
"16586",60000,"MORTGAGE","A",16000,0,0.27,"N","0-15","0-8"
"16587",68004,"MORTGAGE","B",16000,0,0.24,"N","0-15","11-13.5"
"16588",23000,"RENT","C",4850,0,0.21,"Y","0-15","13.5+"
"16589",36000,"RENT","B",7000,0,0.19,"N","0-15","8-11"
"16590",90000,"RENT","C",13000,0,0.14,"N","0-15","11-13.5"
"16591",24605,"OTHER","C",10000,0,0.41,"N","0-15","Missing"
"16592",75000,"RENT","B",2000,0,0.03,"N","0-15","8-11"
"16593",140000,"MORTGAGE","B",24250,0,0.17,"N","0-15","11-13.5"
"16594",28000,"OTHER","C",7500,0,0.27,"N","0-15","Missing"
"16595",24000,"RENT","B",2800,1,0.12,"N","0-15","11-13.5"
"16596",83004,"MORTGAGE","A",5000,0,0.06,"N","0-15","0-8"
"16597",75000,"RENT","A",12000,0,0.16,"N","0-15","0-8"
"16598",48000,"MORTGAGE","B",6500,0,0.14,"N","0-15","8-11"
"16599",19000,"OTHER","A",4000,1,0.21,"N","0-15","0-8"
"16600",18000,"RENT","B",3600,1,0.2,"N","0-15","Missing"
"16601",42000,"MORTGAGE","A",3200,1,0.08,"N","Missing","0-8"
"16602",127000,"MORTGAGE","Other",12000,0,0.09,"Y","0-15","13.5+"
"16603",34800,"RENT","Other",5600,1,0.16,"N","0-15","13.5+"
"16604",14400,"RENT","Other",1825,1,0.13,"Y","0-15","13.5+"
"16605",68000,"RENT","C",3000,0,0.04,"Y","0-15","11-13.5"
"16606",28800,"RENT","A",8000,0,0.28,"N","0-15","Missing"
"16607",1e+05,"MORTGAGE","A",12000,0,0.12,"N","0-15","8-11"
"16608",24000,"RENT","C",10000,1,0.42,"N","Missing","11-13.5"
"16609",50004,"RENT","Other",12000,0,0.24,"Y","0-15","13.5+"
"16610",116000,"RENT","A",11000,0,0.09,"N","0-15","8-11"
"16611",48000,"RENT","Other",25000,1,0.52,"N","0-15","13.5+"
"16612",80000,"MORTGAGE","A",10000,0,0.13,"N","0-15","0-8"
"16613",27000,"RENT","A",2800,1,0.1,"N","0-15","0-8"
"16614",22406,"RENT","A",2500,1,0.11,"N","0-15","0-8"
"16615",57700,"MORTGAGE","B",3500,0,0.06,"N","0-15","8-11"
"16616",30000,"RENT","Other",6400,1,0.21,"N","Missing","13.5+"
"16617",30000,"MORTGAGE","Other",4000,1,0.13,"N","0-15","13.5+"
"16618",24449,"OTHER","B",1800,0,0.07,"N","0-15","11-13.5"
"16619",62471,"MORTGAGE","A",12000,0,0.19,"N","Missing","0-8"
"16620",69528,"RENT","C",6000,0,0.09,"N","0-15","11-13.5"
"16621",36000,"RENT","A",6000,0,0.17,"N","0-15","0-8"
"16622",48000,"RENT","A",3000,1,0.06,"N","0-15","8-11"
"16623",60000,"MORTGAGE","B",10000,0,0.17,"N","0-15","11-13.5"
"16624",64000,"RENT","Other",8000,1,0.13,"N","0-15","13.5+"
"16625",34000,"MORTGAGE","A",2000,1,0.06,"N","0-15","0-8"
"16626",24000,"RENT","B",2000,0,0.08,"N","0-15","11-13.5"
"16627",24000,"OTHER","C",6000,0,0.25,"N","0-15","11-13.5"
"16628",32000,"RENT","C",14000,1,0.44,"N","0-15","11-13.5"
"16629",22000,"OTHER","Other",7500,0,0.34,"N","0-15","Missing"
"16630",45000,"RENT","C",4800,0,0.11,"N","0-15","13.5+"
"16631",95000,"RENT","A",6500,0,0.07,"N","0-15","8-11"
"16632",50000,"RENT","A",7500,0,0.15,"N","0-15","8-11"
"16633",42996,"RENT","C",4800,0,0.11,"Y","0-15","11-13.5"
"16634",19250,"RENT","Other",6250,1,0.32,"N","0-15","13.5+"
"16635",44400,"RENT","B",1500,0,0.03,"N","0-15","11-13.5"
"16636",53000,"MORTGAGE","A",8000,0,0.15,"N","0-15","0-8"
"16637",68000,"RENT","C",10000,0,0.15,"Y","0-15","13.5+"
"16638",70560,"RENT","A",9600,0,0.14,"N","0-15","0-8"
"16639",37200,"RENT","A",7200,0,0.19,"N","0-15","0-8"
"16640",39000,"RENT","Other",16000,1,0.41,"N","0-15","13.5+"
"16641",49000,"MORTGAGE","A",2400,0,0.05,"N","0-15","0-8"
"16642",90000,"MORTGAGE","B",6000,0,0.07,"N","0-15","11-13.5"
"16643",98000,"MORTGAGE","Other",13200,1,0.13,"Y","0-15","13.5+"
"16644",102000,"MORTGAGE","B",9800,0,0.1,"N","0-15","8-11"
"16645",26400,"MORTGAGE","B",4400,0,0.17,"N","0-15","11-13.5"
"16646",70000,"RENT","B",13000,0,0.19,"N","0-15","8-11"
"16647",53826,"MORTGAGE","C",8500,1,0.16,"N","0-15","13.5+"
"16648",120000,"MORTGAGE","B",6000,0,0.05,"N","0-15","8-11"
"16649",49000,"MORTGAGE","A",2400,0,0.05,"N","0-15","0-8"
"16650",19200,"RENT","B",4000,1,0.21,"N","0-15","Missing"
"16651",96000,"RENT","B",7000,0,0.07,"N","0-15","8-11"
"16652",31000,"RENT","A",1800,0,0.06,"N","0-15","8-11"
"16653",1e+05,"RENT","A",11000,0,0.11,"N","0-15","0-8"
"16654",40000,"RENT","B",15000,1,0.38,"N","0-15","11-13.5"
"16655",70000,"MORTGAGE","B",20000,0,0.29,"N","0-15","11-13.5"
"16656",1e+05,"MORTGAGE","B",10000,0,0.1,"N","0-15","8-11"
"16657",78300,"MORTGAGE","Other",15000,0,0.19,"Y","0-15","13.5+"
"16658",45000,"RENT","A",6000,0,0.13,"N","0-15","0-8"
"16659",85000,"MORTGAGE","C",7500,0,0.09,"Y","0-15","13.5+"
"16660",45000,"MORTGAGE","Other",10000,0,0.22,"N","0-15","13.5+"
"16661",36000,"RENT","C",5000,1,0.14,"N","0-15","11-13.5"
"16662",109000,"MORTGAGE","B",15000,0,0.14,"N","0-15","8-11"
"16663",36000,"RENT","B",4000,0,0.11,"N","0-15","Missing"
"16664",31836,"RENT","C",6400,0,0.2,"N","0-15","13.5+"
"16665",54000,"RENT","Other",7000,1,0.13,"Y","0-15","13.5+"
"16666",73426,"MORTGAGE","C",7500,0,0.1,"Y","0-15","Missing"
"16667",66300,"RENT","Other",30000,1,0.38,"N","0-15","Missing"
"16668",49963,"MORTGAGE","B",2100,1,0.04,"N","0-15","11-13.5"
"16669",60350,"RENT","Other",25000,1,0.35,"N","0-15","13.5+"
"16670",60000,"MORTGAGE","A",11200,0,0.19,"N","0-15","0-8"
"16671",50000,"MORTGAGE","A",2600,0,0.05,"N","0-15","0-8"
"16672",60000,"MORTGAGE","B",8500,0,0.14,"N","0-15","8-11"
"16673",95000,"MORTGAGE","B",15000,0,0.16,"N","0-15","11-13.5"
"16674",60000,"MORTGAGE","A",6125,0,0.1,"N","0-15","0-8"
"16675",75000,"RENT","A",10000,0,0.13,"N","0-15","0-8"
"16676",75000,"MORTGAGE","A",9000,0,0.12,"N","0-15","0-8"
"16677",37000,"RENT","B",10000,0,0.27,"N","Missing","Missing"
"16678",54000,"RENT","A",5500,0,0.1,"N","0-15","8-11"
"16679",102000,"MORTGAGE","B",25000,1,0.21,"N","0-15","8-11"
"16680",61000,"MORTGAGE","C",12000,0,0.2,"N","0-15","11-13.5"
"16681",44000,"MORTGAGE","A",5500,0,0.13,"N","0-15","0-8"
"16682",105000,"MORTGAGE","Other",6500,0,0.06,"Y","0-15","13.5+"
"16683",72000,"OTHER","B",15000,0,0.21,"N","0-15","8-11"
"16684",30000,"RENT","B",8000,0,0.27,"N","0-15","8-11"
"16685",29000,"RENT","Other",14400,1,0.5,"N","0-15","13.5+"
"16686",21360,"RENT","A",7500,1,0.35,"N","0-15","0-8"
"16687",36000,"RENT","A",5400,0,0.15,"N","Missing","8-11"
"16688",75600,"MORTGAGE","A",14500,0,0.19,"N","0-15","8-11"
"16689",108000,"RENT","Other",25000,1,0.23,"N","0-15","13.5+"
"16690",49600,"RENT","A",12000,0,0.24,"N","0-15","0-8"
"16691",52000,"MORTGAGE","B",3300,0,0.06,"N","0-15","8-11"
"16692",43949,"RENT","B",3000,0,0.07,"N","0-15","11-13.5"
"16693",40000,"RENT","A",12000,0,0.3,"N","0-15","0-8"
"16694",60000,"RENT","A",12000,0,0.2,"N","0-15","8-11"
"16695",50000,"MORTGAGE","A",10000,0,0.2,"N","0-15","0-8"
"16696",38004,"RENT","A",4500,0,0.12,"N","0-15","0-8"
"16697",70000,"RENT","B",17000,0,0.24,"N","0-15","8-11"
"16698",48000,"MORTGAGE","A",5000,0,0.1,"N","0-15","0-8"
"16699",24000,"RENT","B",5500,0,0.23,"N","0-15","8-11"
"16700",60000,"MORTGAGE","B",10000,0,0.17,"N","0-15","Missing"
"16701",34500,"RENT","Other",5000,1,0.14,"Y","0-15","13.5+"
"16702",120000,"MORTGAGE","A",16000,0,0.13,"N","0-15","8-11"
"16703",80400,"MORTGAGE","A",12000,0,0.15,"N","0-15","0-8"
"16704",27600,"RENT","B",3500,1,0.13,"N","Missing","8-11"
"16705",50000,"MORTGAGE","Other",13750,1,0.28,"N","0-15","13.5+"
"16706",35000,"RENT","C",2400,0,0.07,"Y","0-15","Missing"
"16707",126000,"RENT","C",8000,0,0.06,"N","0-15","11-13.5"
"16708",20004,"RENT","B",3000,0,0.15,"N","0-15","8-11"
"16709",160000,"RENT","A",20000,0,0.13,"N","0-15","0-8"
"16710",46000,"RENT","B",12000,0,0.26,"N","0-15","11-13.5"
"16711",40000,"OTHER","B",15000,0,0.38,"N","0-15","8-11"
"16712",40000,"RENT","Other",5600,0,0.14,"N","0-15","13.5+"
"16713",75800,"RENT","A",7000,0,0.09,"N","0-15","0-8"
"16714",43000,"RENT","B",2400,0,0.06,"N","0-15","8-11"
"16715",55000,"RENT","B",6000,0,0.11,"N","0-15","8-11"
"16716",60000,"RENT","A",5000,0,0.08,"N","0-15","0-8"
"16717",30000,"RENT","Other",9000,0,0.3,"N","0-15","13.5+"
"16718",52000,"RENT","A",5000,0,0.1,"N","0-15","0-8"
"16719",1e+05,"MORTGAGE","B",3000,0,0.03,"N","0-15","11-13.5"
"16720",90000,"MORTGAGE","A",20000,0,0.22,"N","0-15","0-8"
"16721",46500,"RENT","C",8000,1,0.17,"N","0-15","13.5+"
"16722",145000,"MORTGAGE","B",25000,0,0.17,"N","0-15","11-13.5"
"16723",60000,"RENT","A",17000,0,0.28,"N","0-15","0-8"
"16724",2e+05,"MORTGAGE","C",16000,0,0.08,"N","0-15","13.5+"
"16725",79000,"MORTGAGE","A",9000,0,0.11,"N","0-15","0-8"
"16726",120000,"MORTGAGE","Other",25000,0,0.21,"N","0-15","13.5+"
"16727",47000,"RENT","A",7000,0,0.15,"N","0-15","0-8"
"16728",50000,"RENT","B",13000,0,0.26,"N","0-15","Missing"
"16729",37200,"RENT","B",10000,1,0.27,"N","0-15","Missing"
"16730",47000,"MORTGAGE","C",13850,0,0.29,"Y","0-15","11-13.5"
"16731",72000,"RENT","A",14000,0,0.19,"N","0-15","0-8"
"16732",45000,"MORTGAGE","C",8650,0,0.19,"N","0-15","13.5+"
"16733",61200,"MORTGAGE","A",5650,0,0.09,"N","0-15","0-8"
"16734",34000,"MORTGAGE","B",10000,0,0.29,"N","0-15","11-13.5"
"16735",22800,"RENT","A",1775,0,0.08,"N","0-15","0-8"
"16736",28000,"RENT","A",6000,0,0.21,"N","0-15","8-11"
"16737",45000,"RENT","Other",4000,1,0.09,"Y","0-15","13.5+"
"16738",44000,"MORTGAGE","Other",25000,1,0.57,"Y","0-15","13.5+"
"16739",40800,"RENT","Other",12000,1,0.29,"N","0-15","13.5+"
"16740",75000,"MORTGAGE","A",12000,0,0.16,"N","0-15","0-8"
"16741",33195,"RENT","B",1800,0,0.05,"N","0-15","11-13.5"
"16742",90000,"RENT","B",5525,0,0.06,"N","0-15","11-13.5"
"16743",24996,"RENT","C",7500,0,0.3,"N","0-15","11-13.5"
"16744",21000,"OTHER","C",3825,0,0.18,"N","Missing","13.5+"
"16745",74800,"RENT","Other",20000,1,0.23,"Y","0-15","13.5+"
"16746",168600,"RENT","B",20000,0,0.12,"N","0-15","11-13.5"
"16747",43000,"MORTGAGE","Other",10000,1,0.23,"N","0-15","13.5+"
"16748",28128,"RENT","Other",7500,1,0.27,"N","0-15","13.5+"
"16749",64151,"RENT","B",5000,0,0.08,"N","0-15","11-13.5"
"16750",44000,"RENT","A",2000,1,0.05,"N","0-15","0-8"
"16751",105500,"RENT","B",6000,0,0.06,"N","0-15","11-13.5"
"16752",90096,"MORTGAGE","C",10150,0,0.11,"N","0-15","11-13.5"
"16753",306000,"RENT","C",24250,0,0.08,"N","0-15","13.5+"
"16754",49000,"MORTGAGE","Other",5000,1,0.1,"Y","0-15","13.5+"
"16755",91000,"MORTGAGE","B",12000,0,0.13,"N","0-15","Missing"
"16756",53000,"RENT","B",6800,0,0.13,"N","0-15","8-11"
"16757",49200,"MORTGAGE","B",6000,0,0.12,"N","0-15","8-11"
"16758",38000,"MORTGAGE","A",5400,0,0.14,"N","0-15","0-8"
"16759",54000,"RENT","Other",3200,1,0.06,"N","0-15","13.5+"
"16760",75000,"RENT","A",6000,0,0.08,"N","0-15","0-8"
"16761",120000,"RENT","B",6000,0,0.05,"N","0-15","8-11"
"16762",1e+05,"MORTGAGE","A",11000,0,0.11,"N","0-15","8-11"
"16763",106000,"MORTGAGE","A",10000,0,0.09,"N","0-15","0-8"
"16764",57000,"MORTGAGE","B",2400,0,0.04,"N","0-15","11-13.5"
"16765",33321,"OTHER","C",12250,0,0.37,"Y","0-15","11-13.5"
"16766",28800,"RENT","B",8000,0,0.28,"N","0-15","8-11"
"16767",50400,"RENT","A",1500,0,0.03,"N","0-15","Missing"
"16768",74000,"RENT","B",25000,1,0.34,"N","0-15","8-11"
"16769",54000,"MORTGAGE","B",5100,0,0.09,"N","0-15","8-11"
"16770",59000,"OTHER","A",5000,0,0.08,"N","0-15","0-8"
"16771",40000,"OTHER","C",2000,0,0.05,"N","0-15","11-13.5"
"16772",75000,"MORTGAGE","A",10200,0,0.14,"N","0-15","0-8"
"16773",40000,"RENT","B",6500,0,0.16,"N","0-15","11-13.5"
"16774",53000,"OTHER","B",2500,0,0.05,"N","0-15","8-11"
"16775",24000,"OTHER","C",4750,0,0.2,"Y","0-15","Missing"
"16776",24000,"RENT","C",1000,0,0.04,"Y","0-15","11-13.5"
"16777",80796,"MORTGAGE","A",5000,0,0.06,"N","0-15","Missing"
"16778",30000,"RENT","B",6000,0,0.2,"N","0-15","11-13.5"
"16779",49000,"RENT","Other",12000,1,0.24,"N","0-15","11-13.5"
"16780",46000,"RENT","B",11000,0,0.24,"N","0-15","8-11"
"16781",46000,"RENT","A",7000,0,0.15,"N","0-15","8-11"
"16782",32500,"MORTGAGE","C",3000,0,0.09,"Y","0-15","11-13.5"
"16783",73440,"MORTGAGE","A",7000,0,0.1,"N","0-15","0-8"
"16784",120000,"MORTGAGE","B",13000,0,0.11,"N","0-15","8-11"
"16785",66420,"MORTGAGE","B",4000,0,0.06,"N","0-15","11-13.5"
"16786",75000,"RENT","B",21000,0,0.28,"N","0-15","8-11"
"16787",20000,"RENT","C",2500,0,0.13,"Y","0-15","13.5+"
"16788",35000,"RENT","B",10000,0,0.29,"N","0-15","Missing"
"16789",50000,"MORTGAGE","C",10000,0,0.2,"Y","0-15","Missing"
"16790",57000,"MORTGAGE","A",8000,0,0.14,"N","0-15","0-8"
"16791",30000,"RENT","B",5000,0,0.17,"N","0-15","11-13.5"
"16792",52000,"MORTGAGE","B",15000,0,0.29,"N","0-15","8-11"
"16793",89000,"MORTGAGE","B",8000,0,0.09,"N","0-15","8-11"
"16794",48000,"RENT","A",16500,1,0.34,"N","0-15","8-11"
"16795",77000,"MORTGAGE","B",21000,0,0.27,"N","0-15","11-13.5"
"16796",70000,"RENT","Other",15000,0,0.21,"Y","0-15","13.5+"
"16797",98004,"RENT","Other",16000,1,0.16,"Y","0-15","13.5+"
"16798",55000,"MORTGAGE","A",8000,0,0.15,"N","0-15","0-8"
"16799",35976,"RENT","B",15000,1,0.42,"N","0-15","8-11"
"16800",62900,"RENT","Other",16800,1,0.23,"N","0-15","13.5+"
"16801",72000,"MORTGAGE","A",5000,0,0.07,"N","0-15","0-8"
"16802",47000,"MORTGAGE","B",12000,0,0.26,"N","0-15","11-13.5"
"16803",50000,"MORTGAGE","C",3000,0,0.06,"N","0-15","11-13.5"
"16804",27096,"RENT","A",5000,1,0.18,"N","0-15","0-8"
"16805",72000,"RENT","C",10000,0,0.14,"N","0-15","13.5+"
"16806",57564,"MORTGAGE","B",21000,0,0.36,"N","0-15","11-13.5"
"16807",24996,"RENT","B",4000,0,0.16,"N","0-15","8-11"
"16808",54000,"RENT","B",20000,1,0.37,"N","0-15","11-13.5"
"16809",38400,"RENT","B",2200,0,0.06,"N","0-15","11-13.5"
"16810",72000,"MORTGAGE","B",25000,0,0.35,"N","0-15","11-13.5"
"16811",67807,"MORTGAGE","A",6400,0,0.09,"N","0-15","0-8"
"16812",12000,"RENT","A",2100,1,0.17,"N","0-15","8-11"
"16813",115154,"RENT","C",3000,0,0.03,"Y","0-15","13.5+"
"16814",59000,"RENT","B",17000,0,0.29,"N","0-15","8-11"
"16815",60000,"RENT","B",25000,1,0.42,"N","0-15","8-11"
"16816",48000,"RENT","A",13000,1,0.27,"N","0-15","0-8"
"16817",39996,"RENT","A",11000,0,0.28,"N","0-15","0-8"
"16818",7800,"RENT","B",1000,0,0.13,"N","0-15","11-13.5"
"16819",54996,"RENT","C",2500,0,0.05,"Y","0-15","13.5+"
"16820",16800,"MORTGAGE","A",3900,1,0.23,"N","Missing","Missing"
"16821",53000,"MORTGAGE","A",8000,0,0.15,"N","0-15","Missing"
"16822",40000,"MORTGAGE","C",6000,0,0.15,"Y","0-15","13.5+"
"16823",54000,"MORTGAGE","B",7000,0,0.13,"N","0-15","8-11"
"16824",65000,"MORTGAGE","A",10000,0,0.15,"N","0-15","0-8"
"16825",80000,"RENT","C",20000,0,0.25,"Y","0-15","11-13.5"
"16826",60000,"MORTGAGE","B",12000,0,0.2,"N","0-15","8-11"
"16827",24000,"RENT","Other",7000,1,0.29,"N","0-15","13.5+"
"16828",91800,"MORTGAGE","Other",16800,1,0.16,"Y","0-15","13.5+"
"16829",121000,"RENT","A",20000,0,0.17,"N","0-15","8-11"
"16830",50004,"OTHER","B",10000,0,0.2,"N","0-15","11-13.5"
"16831",145000,"MORTGAGE","B",7000,0,0.05,"N","0-15","8-11"
"16832",8088,"RENT","C",1200,0,0.15,"Y","Missing","13.5+"
"16833",35000,"MORTGAGE","C",5000,1,0.14,"N","0-15","11-13.5"
"16834",55000,"MORTGAGE","A",10000,1,0.18,"N","0-15","0-8"
"16835",83004,"RENT","A",5450,0,0.07,"N","0-15","0-8"
"16836",51000,"MORTGAGE","Other",16750,0,0.33,"N","0-15","13.5+"
"16837",84600,"MORTGAGE","A",6000,0,0.07,"N","0-15","Missing"
"16838",88900,"OTHER","B",5000,0,0.06,"N","0-15","11-13.5"
"16839",109000,"MORTGAGE","A",14000,0,0.13,"N","0-15","8-11"
"16840",96000,"RENT","A",7300,0,0.08,"N","0-15","8-11"
"16841",60000,"MORTGAGE","C",30000,0,0.5,"Y","0-15","13.5+"
"16842",70000,"MORTGAGE","Other",8000,0,0.11,"N","0-15","13.5+"
"16843",35000,"RENT","B",8000,0,0.23,"N","0-15","8-11"
"16844",72000,"RENT","B",10000,0,0.14,"N","0-15","8-11"
"16845",31200,"RENT","Other",6000,1,0.19,"Y","0-15","13.5+"
"16846",65000,"RENT","B",6400,0,0.1,"N","0-15","8-11"
"16847",51600,"RENT","B",14000,1,0.27,"N","0-15","8-11"
"16848",70550,"RENT","Other",14000,1,0.17,"Y","0-15","13.5+"
"16849",63000,"MORTGAGE","A",3500,0,0.06,"N","0-15","0-8"
"16850",72000,"MORTGAGE","B",5000,0,0.07,"N","0-15","Missing"
"16851",75000,"MORTGAGE","A",7000,0,0.09,"N","Missing","0-8"
"16852",102000,"RENT","Other",10000,0,0.1,"Y","0-15","Missing"
"16853",86004,"RENT","C",15000,0,0.17,"N","0-15","11-13.5"
"16854",42000,"RENT","A",1925,0,0.05,"N","0-15","0-8"
"16855",58000,"MORTGAGE","C",8000,0,0.14,"Y","0-15","13.5+"
"16856",82000,"RENT","A",9200,0,0.11,"N","0-15","0-8"
"16857",30000,"RENT","C",6300,0,0.21,"Y","0-15","11-13.5"
"16858",117000,"MORTGAGE","A",14400,0,0.12,"N","0-15","Missing"
